Clock_pair,sigma_A_MOD,sigma_A_DE,sigma_A_DM
Cs/Sr,1.3502633147656365e-16,3.1049525185732705e-24,2.7810766391944864e-23
N2+/Sr,5.3964610623218515e-18,1.6223770163199183e-25,1.1282360565530852e-24
CaF/Sr,7.423217941251507e-18,1.7337124431121405e-25,1.505998682346486e-24
CaF/Cs,1.9237891026618056e-16,4.355723050607042e-24,3.92419616479895e-23
Yb+/Cs,1.361141758386799e-16,3.0607819937394567e-24,2.8107905251653725e-23
CaF/Yb+,7.751907278435825e-18,1.7882126867042515e-25,1.591460874602198e-24
