Clock_pair,sigma_A_MOD,sigma_A_DE,sigma_A_DM
Cs/Sr,1.405751298454755e-16,3.1610906530655387e-24,2.735249499730011e-23
N2+/Sr,5.369046836628802e-18,1.6220188074475298e-25,1.0769171623878691e-24
CaF/Sr,7.578496072955453e-18,1.70061493067062e-25,1.4738124476328423e-24
CaF/Cs,2.003886717622644e-16,4.509951832276978e-24,3.9682066159906514e-23
Yb+/Cs,1.389465410828246e-16,3.1557226550352193e-24,2.737133816289394e-23
CaF/Yb+,7.671148516631942e-18,1.7857826815992117e-25,1.530021146498749e-24
