Clock_pair,sigma_A_MOD,sigma_A_DE,sigma_A_DM
Cs/Sr,1.4016764446719235e-16,3.0902297623335514e-24,2.779493336746172e-23
N2+/Sr,5.211284389263006e-18,1.5897223449069046e-25,1.0495200783621036e-24
CaF/Sr,7.547995002411521e-18,1.6811182293672823e-25,1.4973810486853694e-24
CaF/Cs,1.9356230573931345e-16,4.340710037825435e-24,3.905757104339029e-23
Yb+/Cs,1.390838741970516e-16,3.079947845175723e-24,2.83151467478992e-23
CaF/Yb+,7.566568784799037e-18,1.734137546528261e-25,1.5594945600960567e-24
